"Monsoon" "Upper cloud"
"Ficus nervosa Heyne ex Roth." 5 0
"Ficus sarmentosa B. Ham. ex J. E. Sm. var. nipponica (Fr. & Sav.) Corner" 1 0
"Ficus septica Burm. f." 3 0
"Ficus superba (Miq.) Miq. var. japonica Miq." 2 0
"Ficus virgata Reinw. ex Bl." 13 0
"Firmiana simplex (L.) W. F. Wight" 1 0
"Fissistigma glaucescens (Hance) Merr." 0 0
"Fissistigma oldhamii (Hemsl.) Merr." 10 0
"Fraxinus griffithii C. B. Clarke" 1 0
"Fraxinus insularis Hemsl." 1 0
"Gardenia jasminoides Ellis" 30 0
"Glochidion acuminatum Muell.-Arg." 61 0
"Glochidion philippicum (Cavan.) C. B. Rob." 4 0
"Glochidion rubrum Bl." 48 0
"Glochidion zeylanicum (Gaertn.) A. Juss." 6 0
"Glochidion zeylanicum (Gaertn.) A. Juss. var. lanceolatum (Hayata) M. J. Deng & J. C. Wang" 4 0
"Glycosmis citrifolia (Willd.) Lindl." 0 0
"Gordonia axillaris (Roxb.) Dietr." 36 9
"Gymnema sylvestre (Retz.) Schultes" 2 0
"Helicia cochinchinensis Lour." 14 0
"Helicia formosana Hemsl." 91 0
"Helwingia japonica (Thunb.) Dietr. subsp. taiwaniana Y. P. Yang & H. Y. Liu" 0 5
"Hibiscus syriacus L." 0 0
"Hiptage benghalensis (L.) Kurz." 2 0
"Hydrangea angustipetala Hayata" 81 11
"Hydrangea aspera D. Don" 0 2
"Hydrangea chinensis Maxim." 24 1
"Hydrangea integrifolia Hayata ex Matsum. & Hayata" 0 0
"Hydrangea longifolia Hayata" 0 0
"Idesia polycarpa Maxim." 0 1
"Ilex asprella (Hook. & Arn.) Champ." 44 1
"Ilex bioritsensis Hayata" 0 6
"Ilex cochinchinensis (Lour.) Loes." 1 0
"Ilex crenata Thunb." 1 0
"Ilex ficoidea Hemsl." 71 3
"Ilex formosana Maxim." 89 5
"Ilex goshiensis Hayata" 17 64
"Ilex hayataiana Loes." 4 34
"Ilex lonicerifolia Hayata" 0 9
"Ilex lonicerifolia Hayata var. matsudai Yamamoto" 2 5
"Ilex maximowicziana Loes." 41 0
"Ilex micrococca Maxim." 4 2
"Ilex pedunculosa Miq." 0 3
"Ilex pubescens Hook. & Arn." 10 0
"Ilex rotunda Thunb." 13 1
"Ilex sugerokii Maxim. var. brevipedunculata (Maxim.) S. Y. Hu" 2 17
"Ilex suzukii S. Y. Hu" 0 4
"Ilex tugitakayamensis Sasaki" 0 63
"Ilex uraiensis Mori & Yamamoto" 8 2
"Ilex yunnanensis Fr. var. parvifolia (Hayata) S. Y. Hu" 0 1
"Illicium anisatum L." 2 41
"Illicium arborescens Hayata" 9 0
"Itea oldhamii Schneider" 46 0
"Itea parviflora Hemsl." 92 17
"Juglans cathayensis Dode" 0 0
"Kadsura japonica (L.) Dunal" 5 3
"Lagerstroemia subcostata Koehne" 26 0
"Lasianthus appressihirtus Simizu" 0 0
"Lasianthus appressihirtus Simizu var. maximus Simizu ex T.S. Liu & J.M. Chao" 1 0
"Lasianthus bunzanensis Simizu" 21 0
"Lasianthus chinensis (Champ. ex Benth.) Benth." 0 0
"Lasianthus curtisii King & Gamble" 12 0
"Lasianthus fordii Hance" 101 2
"Lasianthus japonicus Miq." 1 1
"Lasianthus microphyllus Elmer" 1 0
"Lasianthus microstachys Hayata" 5 1
"Lasianthus obliquinervis Merr." 20 0
"Lasianthus wallichii Wight" 43 0
"Leucaena leucocephala (Lam.) de Wit" 0 0
"Ligustrum liukiuense Koidz." 37 9
"Ligustrum morrisonense Kanehira & Sasaki" 0 1
"Ligustrum pricei Hayata" 0 4
"Ligustrum sinense Lour. ex Dence" 11 4
"Limlia uraiana (Hayata) Masam. & Tomiya" 16 0
"Lindera akoensis Hayata" 5 0
"Lindera communis Hemsl." 26 1
